BG Team Mate (drop down),Placement x BG Active Doctor (list relationship),Start Date,Due Date,Margin Per Unit (currency),Total Estimated Units  (number),Total Placement Estimated Margin $ (formula),Pay Inc Super (per unit) (currency),Pay Exc Super (per unit) (currency),Site Name (short text)
Phoebe Holden,[86d0f0p94],"Saturday, May 23rd 2026","Monday, May 25th 2026",15.6,32,499.2,145.6,130,Grafton Base Hospital
Phoebe Holden,[86czb77qd],"Sunday, May 24th 2026","Tuesday, May 26th 2026",16,30,480,0,160,Orange Base Hospital
Phoebe Holden,[86czjye2q],"Monday, May 25th 2026","Thursday, May 28th 2026",28,30,840,160,142.86,Sydney Adventist Hospital
Phoebe Holden,[86czb6tut],"Monday, May 25th 2026","Thursday, May 28th 2026",21.6,32,691.2,0,180,Cooma Hospital
Phoebe Holden,[86czb6cu6],"Monday, May 25th 2026","Friday, May 29th 2026",18,38,684,120,107.14,Northern Beaches Hospital
Phoebe Holden,[86d19mdk7],"Monday, May 25th 2026","Thursday, July 30th 2026",15.6,150,2340,0,130,Auburn Hospital
Phoebe Holden,[86czuzh0f],"Thursday, May 28th 2026","Wednesday, June 3rd 2026",18,60,1080,167.25,150,Griffith Base Hospital
Phoebe Holden,[86cztdrw3],"Friday, May 29th 2026","Friday, May 29th 2026",28,8,224,160,142.86,Sydney Adventist Hospital
Phoebe Holden,[86d26g1qx],"Friday, May 29th 2026","Monday, June 15th 2026",30.98,130,4027.4,177.02,158.05,North Canberra Hospital
Phoebe Holden,[86czb6tut],"Monday, June 1st 2026","Sunday, June 7th 2026",38.5,70,2695,220,0,Care 24/7 - Calvary Lenah Valley Hospital Emergency (Hobart)
Phoebe Holden,[86czb6cu6],"Monday, June 1st 2026","Friday, June 5th 2026",18,38,684,120,107.14,Northern Beaches Hospital
Phoebe Holden,[86czb77qd],"Monday, June 1st 2026","Thursday, June 4th 2026",18,40,720,0,180,Orange Base Hospital
Phoebe Holden,[86czb6axz],"Monday, June 1st 2026","Thursday, June 4th 2026",19.2,40,768,0,160,Orange Base Hospital
Phoebe Holden,[86cztdrw3],"Tuesday, June 2nd 2026","Tuesday, June 2nd 2026",28,8,224,160,142.86,Sydney Adventist Hospital
Phoebe Holden,[86d13xc5h],"Tuesday, June 2nd 2026","Sunday, June 7th 2026",21.25,48,1020,125,,Lake Macquarie Private Hospital
Phoebe Holden,[86czyhb4t],"Wednesday, June 3rd 2026","Wednesday, June 10th 2026",16.8,60,1008,156.1,140,Griffith Base Hospital
Phoebe Holden,[86d0f0p94],"Sunday, June 7th 2026","Monday, June 8th 2026",20.4,20,408,0,170,Tamworth Hospital
Phoebe Holden,[86czb601z],"Monday, June 8th 2026","Sunday, June 14th 2026",21.25,70,1487.5,125,,Lake Macquarie Private Hospital
Phoebe Holden,[86czb7e0e],"Monday, June 8th 2026","Wednesday, June 10th 2026",19.2,30,576,0,160,Orange Base Hospital
Phoebe Holden,[86czb601z],"Tuesday, June 9th 2026","Sunday, July 19th 2026",18,240,4320,0,150,Auburn Hospital
Phoebe Holden,[86d19mdk7],"Friday, June 12th 2026","Saturday, June 13th 2026",35,20,700,200,0,Sydney Adventist Hospital
Phoebe Holden,[86czyhb4t],"Friday, June 19th 2026","Monday, June 22nd 2026",16.8,40,672,156.1,140,Griffith Base Hospital
Phoebe Holden,[86cztdrw3],"Friday, June 19th 2026","Friday, June 19th 2026",17.5,8,140,100,89.69,Sydney Adventist Hospital
Phoebe Holden,[86d0f0p94],"Saturday, June 20th 2026","Sunday, June 21st 2026",15.6,16,249.6,145.6,130,Grafton Base Hospital
Phoebe Holden,[86czx3zy4],"Monday, June 22nd 2026","Sunday, June 28th 2026",23.4,70,1638,180,0,Grampians Health Horsham
Phoebe Holden,[86d0f0p94],"Monday, June 22nd 2026","Thursday, June 25th 2026",15.6,40,624,0,130,Casino & District Memorial Hospital
Phoebe Holden,[86czuzh0f],"Monday, June 22nd 2026","Sunday, June 28th 2026",28,24,672,160,,Sydney Adventist Hospital
Phoebe Holden,[86czb79p5],"Wednesday, June 24th 2026","Tuesday, June 30th 2026",24,70,1680,0,200,Batemans Bay
Phoebe Holden,[86d0f0p94],"Monday, June 29th 2026","Tuesday, June 30th 2026",15.6,20,312,0,130,Casino & District Memorial Hospital
Phoebe Holden,[86czuzh0f],"Monday, June 29th 2026","Tuesday, June 30th 2026",35,24,840,200,,Sydney Adventist Hospital
Phoebe Holden,[86d0akmze],"Wednesday, July 1st 2026","Friday, July 31st 2026",22.3,160,3568,148.62,0,St John of God Midland Public and Private Hosp
Phoebe Holden,[86d0f0p94],"Thursday, July 2nd 2026","Friday, July 3rd 2026",15.6,20,312,0,130,Casino & District Memorial Hospital
Phoebe Holden,[86czb7r6w],"Friday, July 3rd 2026","Tuesday, September 1st 2026",35,430,15050,200,0,Sydney Adventist Hospital
Phoebe Holden,[86d0f0p94],"Saturday, July 4th 2026","Sunday, July 5th 2026",15.6,16,249.6,145.6,130,Grafton Base Hospital
Phoebe Holden,[86czx3zy4],"Monday, July 6th 2026","Sunday, July 12th 2026",23.4,70,1638,180,0,Grampians Health Horsham
Phoebe Holden,[86czuzh0f],"Monday, July 6th 2026","Sunday, July 12th 2026",21.25,66.5,1413.125,125,,Lake Macquarie Private Hospital
Phoebe Holden,[86czb6axz],"Monday, July 13th 2026","Sunday, July 19th 2026",27.56,60,1653.6,180.12,160.82,North Canberra Hospital
Phoebe Holden,[86d0f0p94],"Wednesday, July 15th 2026","Sunday, July 19th 2026",15.6,40,624,145.6,130,Grafton Base Hospital
Phoebe Holden,[86d26g1qx],"Friday, July 17th 2026","Sunday, July 19th 2026",30.98,30,929.4,177.02,158.05,North Canberra Hospital
Phoebe Holden,[86d13xc5h],"Monday, July 20th 2026","Sunday, July 26th 2026",21.25,66.5,1413.125,125,,Lake Macquarie Private Hospital
Phoebe Holden,[86czuzh0f],"Monday, July 20th 2026","Sunday, July 26th 2026",21.25,66.5,1413.125,125,,Lake Macquarie Private Hospital
Phoebe Holden,[86d0f0p94],"Saturday, July 25th 2026","Sunday, July 26th 2026",15.6,16,249.6,145.6,130,Grafton Base Hospital
Phoebe Holden,[86d26g1qx],"Monday, July 27th 2026","Friday, July 31st 2026",30.98,50,1549,177.02,158.05,North Canberra Hospital
Phoebe Holden,[86d13xc5h],"Monday, August 3rd 2026","Sunday, August 9th 2026",21.25,66.5,1413.125,125,,Lake Macquarie Private Hospital
Phoebe Holden,[86cztdrw3],"Saturday, August 8th 2026","Saturday, August 8th 2026",28,8,224,160,142.86,Sydney Adventist Hospital
Phoebe Holden,[86cztdrw3],"Sunday, August 16th 2026","Sunday, August 16th 2026",26.25,8,210,150,0,Sydney Adventist Hospital
Phoebe Holden,[86d13xc5h],"Monday, August 17th 2026","Sunday, August 23rd 2026",21.25,66.5,1413.125,125,,Lake Macquarie Private Hospital
Phoebe Holden,[86cztdrw3],"Sunday, August 23rd 2026","Sunday, August 23rd 2026",26.25,8,210,150,0,Sydney Adventist Hospital
Phoebe Holden,[86cztdrw3],"Sunday, August 30th 2026","Sunday, August 30th 2026",26.25,8,210,150,0,Sydney Adventist Hospital
Phoebe Holden,[86czb6cu6],"Monday, August 31st 2026","Sunday, September 6th 2026",18,60,1080,0,150,Griffith Base Hospital
Phoebe Holden,[86czb6cu6],"Saturday, September 12th 2026","Friday, September 18th 2026",18,60,1080,0,150,Griffith Base Hospital
Phoebe Holden,[86czb6cu6],"Monday, September 28th 2026","Sunday, October 4th 2026",18,60,1080,0,150,Griffith Base Hospital
Phoebe Holden,[86czb6cu6],"Saturday, October 10th 2026","Friday, October 16th 2026",18,60,1080,0,150,Griffith Base Hospital
Phoebe Holden,[86czb6cu6],"Monday, October 26th 2026","Sunday, November 1st 2026",18,60,1080,0,150,Griffith Base Hospital
Phoebe Holden,[86czb6cu6],"Saturday, November 7th 2026","Friday, November 13th 2026",18,60,1080,0,150,Griffith Base Hospital
Phoebe Holden,[86czb6cu6],"Monday, November 23rd 2026","Sunday, November 29th 2026",18,60,1080,0,150,Griffith Base Hospital
Phoebe Holden,[86czb6cu6],"Saturday, December 5th 2026","Friday, December 11th 2026",18,60,1080,0,150,Griffith Base Hospital
